normalized_key,level,hazard_type,area_ratio,rank_avg,rank_max,source,acquired_on
神奈川県横浜市中区末吉町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区末吉町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区末吉町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区末広町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区末広町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区末広町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧ふ頭,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧三之谷,chome,landslide_special,0.031,0.062,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧元町,chome,landslide_special,0.0177,0.0354,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧十二天,chome,landslide_special,0.0243,0.0487,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧原,chome,landslide_special,0.0066,0.0132,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧和田,chome,landslide_special,0.0418,0.0837,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧大里町,chome,landslide_special,0.0371,0.0742,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧宮原,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧満坂,chome,landslide_special,0.0738,0.1477,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧町1丁目,chome,landslide_special,0.0353,0.0706,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧町2丁目,chome,landslide_special,0.0869,0.1737,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧緑が丘,chome,landslide_special,0.0064,0.0129,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧荒井,chome,landslide_special,0.0878,0.1755,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本牧間門,chome,landslide_special,0.0721,0.1442,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区本町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
